"genes" "cell_type"
"1" "CD38" "HSC/MPP cells"
"2" "SELL" "Effector CD8+ T cells"
"3" "CD8A" "Natural killer  cells"
"4" "NCAM1" "Intermediate monocytes"
"5" "ITGAM" "Erythroid-like and erythroid precursor cells"
"6" "MS4A1" "Plasma B cells"
"7" "CD6" "Erythroid-like and erythroid precursor cells"
"8" "LCK" "Erythroid-like and erythroid precursor cells"
"9" "TNFRSF8" "Erythroid-like and erythroid precursor cells"
"10" "CD3E" "Natural killer  cells"
"11" "CD3D" "Natural killer  cells"
"12" "CD3G" "Natural killer  cells"
"13" "CCR7" "Effector CD8+ T cells"
"14" "IL7R" "Erythroid-like and erythroid precursor cells"
"15" "SHISA5" "Erythroid-like and erythroid precursor cells"
"16" "FCGR3A" "Classical Monocytes"
"17" "FCGR3B" "Classical Monocytes"
"18" "FOXP3" "Erythroid-like and erythroid precursor cells"
"19" "IL2RA" "Naive CD8+ T cells"
"20" "LTB" "Erythroid-like and erythroid precursor cells"
"21" "CD52" "Erythroid-like and erythroid precursor cells"
"22" "CCR6" "Erythroid-like and erythroid precursor cells"
"23" "CD27" "Erythroid-like and erythroid precursor cells"
"24" "CD247" "Natural killer  cells"
"25" "CTLA4" "Erythroid-like and erythroid precursor cells"
"26" "CD2" "Erythroid-like and erythroid precursor cells"
"27" "PTPRC" "HSC/MPP cells"
"28" "GZMB" "Erythroid-like and erythroid precursor cells"
"29" "CD4" "Natural killer  cells"
