"genes" "cell_type"
"1" "CD38" "Progenitor cells"
"2" "SELL" "Naive CD4+ T cells"
"3" "NKG7" "Natural killer  cells"
"4" "SSR4" "Plasma B cells"
"5" "GNLY" "Natural killer  cells"
"6" "CD1A" "Myeloid Dendritic cells"
"7" "CD79A" "Pro-B cells"
"8" "CD1C" "Myeloid Dendritic cells"
"9" "MMP9" "Neutrophils"
"10" "CD86" "Macrophages"
"11" "S100A9" "Neutrophils"
"12" "MNDA" "Neutrophils"
"13" "VCAN" "Classical Monocytes"
"14" "S100A12" "Classical Monocytes"
"15" "S100A8" "Neutrophils"
"16" "CD40" "Myeloid Dendritic cells"
"17" "ISG15" "ISG expressing immune cells"
"18" "HLA-DQA1" "Pro-B cells"
"19" "FCER1A" "Mast cells"
"20" "S100A4" "Memory CD4+ T cells"
"21" "HLA-DQB1" "Pro-B cells"
"22" "CSF2RA" "Granulocytes"
"23" "ISG20" "Mast cells"
"24" "C1QC" "Intermediate monocytes"
"25" "PF4" "Platelets"
"26" "NSMCE1" "Pre-B cells"
"27" "IL3RA" "Basophils"
"28" "ITGA2B" "Megakaryocyte"
"29" "PPBP" "Platelets"
"30" "CD8B" "Naive CD8+ T cells"
"31" "NCAM1" "Natural killer  cells"
"32" "ITGAM" "Eosinophils"
"33" "ITGAX" "Macrophages"
"34" "CXCR2" "Neutrophils"
"35" "CD163" "Macrophages"
"36" "TPM2" "Plasmacytoid Dendritic cells"
"37" "CLEC4C" "Myeloid Dendritic cells"
"38" "CSF1R" "Macrophages"
"39" "ANPEP" "Granulocytes"
"40" "IL1B" "Intermediate monocytes"
"41" "FLT3" "Progenitor cells"
"42" "CD99" "Pro-B cells"
"43" "LRRC26" "Plasmacytoid Dendritic cells"
"44" "PCDH9" "Pre-B cells"
"45" "MPO" "Neutrophils"
"46" "CDKN1C" "Non-classical monocytes"
"47" "ERBB2" "Cancer cells"
"48" "HLA-DPA1" "Myeloid Dendritic cells"
"49" "HLA-DPB1" "Myeloid Dendritic cells"
"50" "SLAMF1" "HSC/MPP cells"
"51" "CXCL10" "ISG expressing immune cells"
"52" "SEC11C" "Plasma B cells"
"53" "MS4A7" "Non-classical monocytes"
"54" "CD83" "Myeloid Dendritic cells"
"55" "MS4A1" "Naive B cells"
"56" "CLU" "Platelets"
"57" "GZMM" "Natural killer  cells"
"58" "GCA" "Macrophages"
"59" "PAX5" "Pro-B cells"
"60" "NT5E" "Progenitor cells"
"61" "CLEC10A" "Myeloid Dendritic cells"
"62" "SCARA5" "Plasmacytoid Dendritic cells"
"63" "CD6" "γδ-T cells"
"64" "CRIP3" "Myeloid Dendritic cells"
"65" "LCK" "γδ-T cells"
"66" "KRT18" "Cancer cells"
"67" "KLRB1" "Natural killer  cells"
"68" "CD19" "Pre-B cells"
"69" "IFIT2" "ISG expressing immune cells"
"70" "AZU1" "Neutrophils"
