"genes" "cell_type"
"1" "CD38" "Progenitor cells"
"2" "SELL" "Naive CD4+ T cells"
"3" "NKG7" "Natural killer  cells"
"4" "SSR4" "Plasma B cells"
"5" "GNLY" "Natural killer  cells"
"6" "CD1A" "Myeloid Dendritic cells"
"7" "CD79A" "Pro-B cells"
"8" "CD1C" "Myeloid Dendritic cells"
"9" "MMP9" "Neutrophils"
"10" "CD86" "Macrophages"
"11" "S100A9" "Neutrophils"
"12" "S100A8" "Neutrophils"
"13" "CD40" "Myeloid Dendritic cells"
"14" "ISG15" "ISG expressing immune cells"
"15" "HLA-DQA1" "Pro-B cells"
"16" "FCER1A" "Mast cells"
"17" "S100A4" "Memory CD4+ T cells"
"18" "HLA-DQB1" "Pro-B cells"
"19" "CSF2RA" "Granulocytes"
"20" "ISG20" "Mast cells"
"21" "C1QC" "Intermediate monocytes"
"22" "PF4" "Platelets"
"23" "NSMCE1" "Pre-B cells"
"24" "IL3RA" "Basophils"
"25" "ITGA2B" "Megakaryocyte"
"26" "CD8A" "CD8+ NKT-like cells"
"27" "PPBP" "Platelets"
"28" "CD8B" "Naive CD8+ T cells"
"29" "NCAM1" "Natural killer  cells"
"30" "ITGAM" "Eosinophils"
"31" "ITGAX" "Macrophages"
"32" "CXCR2" "Neutrophils"
"33" "CD163" "Macrophages"
"34" "TPM2" "Plasmacytoid Dendritic cells"
"35" "CLEC4C" "Myeloid Dendritic cells"
"36" "CSF1R" "Macrophages"
"37" "ANPEP" "Granulocytes"
"38" "IL1B" "Intermediate monocytes"
"39" "FLT3" "Progenitor cells"
"40" "CD99" "Pro-B cells"
"41" "LRRC26" "Plasmacytoid Dendritic cells"
"42" "PCDH9" "Pre-B cells"
"43" "MPO" "Neutrophils"
"44" "CDKN1C" "Non-classical monocytes"
"45" "ERBB2" "Cancer cells"
"46" "HLA-DPA1" "Myeloid Dendritic cells"
"47" "HLA-DPB1" "Myeloid Dendritic cells"
"48" "SLAMF1" "HSC/MPP cells"
"49" "CXCL10" "ISG expressing immune cells"
"50" "SEC11C" "Plasma B cells"
"51" "MS4A7" "Non-classical monocytes"
"52" "CD83" "Myeloid Dendritic cells"
"53" "MS4A1" "Naive B cells"
"54" "CLU" "Platelets"
"55" "GZMM" "Natural killer  cells"
"56" "GCA" "Macrophages"
"57" "PAX5" "Pro-B cells"
"58" "NT5E" "Progenitor cells"
"59" "CLEC10A" "Myeloid Dendritic cells"
"60" "SCARA5" "Plasmacytoid Dendritic cells"
"61" "CD6" "γδ-T cells"
"62" "CRIP3" "Myeloid Dendritic cells"
"63" "LCK" "γδ-T cells"
"64" "KRT18" "Cancer cells"
"65" "KLRB1" "Natural killer  cells"
"66" "CD19" "Pre-B cells"
"67" "IFIT2" "ISG expressing immune cells"
"68" "AZU1" "Neutrophils"
"69" "IFIT3" "ISG expressing immune cells"
"70" "TNFRSF8" "γδ-T cells"
