"genes" "cell_type"
"1" "CD38" "Progenitor cells"
"2" "SELL" "Naive CD4+ T cells"
"3" "NKG7" "Natural killer  cells"
"4" "GNLY" "Natural killer  cells"
"5" "CD1A" "Myeloid Dendritic cells"
"6" "CD79A" "Pro-B cells"
"7" "CD1C" "Myeloid Dendritic cells"
"8" "MMP9" "Neutrophils"
"9" "CD86" "Macrophages"
"10" "S100A9" "Neutrophils"
"11" "MNDA" "Neutrophils"
"12" "VCAN" "Classical Monocytes"
"13" "S100A12" "Classical Monocytes"
"14" "S100A8" "Neutrophils"
"15" "CD40" "Myeloid Dendritic cells"
"16" "ISG15" "ISG expressing immune cells"
"17" "HLA-DQA1" "Pro-B cells"
"18" "FCER1A" "Mast cells"
"19" "S100A4" "Memory CD4+ T cells"
"20" "HLA-DQB1" "Pro-B cells"
"21" "CSF2RA" "Granulocytes"
"22" "ISG20" "Mast cells"
"23" "C1QC" "Intermediate monocytes"
"24" "PF4" "Platelets"
"25" "NSMCE1" "Pre-B cells"
"26" "IL3RA" "Basophils"
"27" "ITGA2B" "Megakaryocyte"
"28" "CD8A" "CD8+ NKT-like cells"
"29" "PPBP" "Platelets"
"30" "CD8B" "Naive CD8+ T cells"
"31" "NCAM1" "Natural killer  cells"
"32" "ITGAM" "Eosinophils"
"33" "ITGAX" "Macrophages"
"34" "CXCR2" "Neutrophils"
"35" "CD163" "Macrophages"
"36" "TPM2" "Plasmacytoid Dendritic cells"
"37" "CLEC4C" "Myeloid Dendritic cells"
"38" "CSF1R" "Macrophages"
"39" "ANPEP" "Granulocytes"
"40" "IL1B" "Intermediate monocytes"
"41" "FLT3" "Progenitor cells"
"42" "CD99" "Pro-B cells"
"43" "LRRC26" "Plasmacytoid Dendritic cells"
"44" "PCDH9" "Pre-B cells"
"45" "MPO" "Neutrophils"
"46" "CDKN1C" "Non-classical monocytes"
"47" "ERBB2" "Cancer cells"
"48" "HLA-DPA1" "Myeloid Dendritic cells"
"49" "HLA-DPB1" "Myeloid Dendritic cells"
"50" "SLAMF1" "HSC/MPP cells"
"51" "CXCL10" "ISG expressing immune cells"
"52" "CD83" "Myeloid Dendritic cells"
"53" "CLU" "Platelets"
"54" "GZMM" "Natural killer  cells"
"55" "GCA" "Macrophages"
"56" "PAX5" "Pro-B cells"
"57" "NT5E" "Progenitor cells"
"58" "CLEC10A" "Myeloid Dendritic cells"
"59" "SCARA5" "Plasmacytoid Dendritic cells"
"60" "CD6" "γδ-T cells"
"61" "CRIP3" "Myeloid Dendritic cells"
"62" "LCK" "γδ-T cells"
"63" "KRT18" "Cancer cells"
"64" "KLRB1" "Natural killer  cells"
"65" "CD19" "Pre-B cells"
"66" "IFIT2" "ISG expressing immune cells"
"67" "AZU1" "Neutrophils"
"68" "IFIT3" "ISG expressing immune cells"
"69" "TNFRSF8" "γδ-T cells"
"70" "ELANE" "Neutrophils"
