"genes" "cell_type"
"1" "CD38" "Progenitor cells"
"2" "SELL" "Naive CD4+ T cells"
"3" "SSR4" "Plasma B cells"
"4" "CD1A" "Myeloid Dendritic cells"
"5" "CD79A" "Pro-B cells"
"6" "CD1C" "Myeloid Dendritic cells"
"7" "MMP9" "Neutrophils"
"8" "CD86" "Macrophages"
"9" "S100A9" "Neutrophils"
"10" "MNDA" "Neutrophils"
"11" "VCAN" "Classical Monocytes"
"12" "S100A12" "Classical Monocytes"
"13" "S100A8" "Neutrophils"
"14" "CD40" "Myeloid Dendritic cells"
"15" "ISG15" "ISG expressing immune cells"
"16" "HLA-DQA1" "Pro-B cells"
"17" "FCER1A" "Mast cells"
"18" "S100A4" "Memory CD4+ T cells"
"19" "HLA-DQB1" "Pro-B cells"
"20" "CSF2RA" "Granulocytes"
"21" "ISG20" "Mast cells"
"22" "C1QC" "Intermediate monocytes"
"23" "PF4" "Platelets"
"24" "NSMCE1" "Pre-B cells"
"25" "IL3RA" "Basophils"
"26" "ITGA2B" "Megakaryocyte"
"27" "CD8A" "CD8+ NKT-like cells"
"28" "PPBP" "Platelets"
"29" "CD8B" "Naive CD8+ T cells"
"30" "ITGAM" "Eosinophils"
"31" "ITGAX" "Macrophages"
"32" "CXCR2" "Neutrophils"
"33" "CD163" "Macrophages"
"34" "TPM2" "Plasmacytoid Dendritic cells"
"35" "CLEC4C" "Myeloid Dendritic cells"
"36" "CSF1R" "Macrophages"
"37" "ANPEP" "Granulocytes"
"38" "IL1B" "Intermediate monocytes"
"39" "FLT3" "Progenitor cells"
"40" "CD99" "Pro-B cells"
"41" "LRRC26" "Plasmacytoid Dendritic cells"
"42" "PCDH9" "Pre-B cells"
"43" "MPO" "Neutrophils"
"44" "CDKN1C" "Non-classical monocytes"
"45" "ERBB2" "Cancer cells"
"46" "HLA-DPA1" "Myeloid Dendritic cells"
"47" "HLA-DPB1" "Myeloid Dendritic cells"
"48" "SLAMF1" "HSC/MPP cells"
"49" "CXCL10" "ISG expressing immune cells"
"50" "SEC11C" "Plasma B cells"
"51" "MS4A7" "Non-classical monocytes"
"52" "CD83" "Myeloid Dendritic cells"
"53" "MS4A1" "Naive B cells"
"54" "CLU" "Platelets"
"55" "GCA" "Macrophages"
"56" "PAX5" "Pro-B cells"
"57" "NT5E" "Progenitor cells"
"58" "CLEC10A" "Myeloid Dendritic cells"
"59" "SCARA5" "Plasmacytoid Dendritic cells"
"60" "CD6" "Naive CD4+ T cells"
"61" "CRIP3" "Myeloid Dendritic cells"
"62" "LCK" "Naive CD4+ T cells"
"63" "KRT18" "Cancer cells"
"64" "IFIT2" "ISG expressing immune cells"
"65" "AZU1" "Neutrophils"
"66" "IFIT3" "ISG expressing immune cells"
"67" "TNFRSF8" "Naive CD4+ T cells"
"68" "ELANE" "Neutrophils"
"69" "IFIT1" "ISG expressing immune cells"
