"genes" "cell_type"
"1" "CD38" "Progenitor cells"
"2" "SELL" "Naive CD4+ T cells"
"3" "NKG7" "Natural killer  cells"
"4" "SSR4" "Plasma B cells"
"5" "GNLY" "Natural killer  cells"
"6" "CD1A" "Myeloid Dendritic cells"
"7" "CD79A" "Pro-B cells"
"8" "CD1C" "Myeloid Dendritic cells"
"9" "MMP9" "Neutrophils"
"10" "CD86" "Macrophages"
"11" "S100A9" "Neutrophils"
"12" "MNDA" "Neutrophils"
"13" "VCAN" "Classical Monocytes"
"14" "S100A12" "Classical Monocytes"
"15" "S100A8" "Neutrophils"
"16" "CD40" "Myeloid Dendritic cells"
"17" "ISG15" "ISG expressing immune cells"
"18" "HLA-DQA1" "Pro-B cells"
"19" "FCER1A" "Mast cells"
"20" "S100A4" "Memory CD4+ T cells"
"21" "HLA-DQB1" "Pro-B cells"
"22" "CSF2RA" "Granulocytes"
"23" "ISG20" "Mast cells"
"24" "C1QC" "Intermediate monocytes"
"25" "PF4" "Platelets"
"26" "NSMCE1" "Pre-B cells"
"27" "IL3RA" "Basophils"
"28" "ITGA2B" "Megakaryocyte"
"29" "CD8A" "CD8+ NKT-like cells"
"30" "PPBP" "Platelets"
"31" "CD8B" "Naive CD8+ T cells"
"32" "NCAM1" "Natural killer  cells"
"33" "ITGAM" "Eosinophils"
"34" "ITGAX" "Macrophages"
"35" "CXCR2" "Neutrophils"
"36" "CD163" "Macrophages"
"37" "TPM2" "Plasmacytoid Dendritic cells"
"38" "CLEC4C" "Myeloid Dendritic cells"
"39" "CSF1R" "Macrophages"
"40" "ANPEP" "Granulocytes"
"41" "IL1B" "Intermediate monocytes"
"42" "FLT3" "Progenitor cells"
"43" "CD99" "Pro-B cells"
"44" "LRRC26" "Plasmacytoid Dendritic cells"
"45" "PCDH9" "Pre-B cells"
"46" "MPO" "Neutrophils"
"47" "ERBB2" "Cancer cells"
"48" "HLA-DPA1" "Myeloid Dendritic cells"
"49" "HLA-DPB1" "Myeloid Dendritic cells"
"50" "SLAMF1" "HSC/MPP cells"
"51" "CXCL10" "ISG expressing immune cells"
"52" "SEC11C" "Plasma B cells"
"53" "CD83" "Myeloid Dendritic cells"
"54" "MS4A1" "Naive B cells"
"55" "CLU" "Platelets"
"56" "GZMM" "Natural killer  cells"
"57" "GCA" "Macrophages"
"58" "PAX5" "Pro-B cells"
"59" "NT5E" "Progenitor cells"
"60" "CLEC10A" "Myeloid Dendritic cells"
"61" "SCARA5" "Plasmacytoid Dendritic cells"
"62" "CD6" "γδ-T cells"
"63" "CRIP3" "Myeloid Dendritic cells"
"64" "LCK" "γδ-T cells"
"65" "KRT18" "Cancer cells"
"66" "KLRB1" "Natural killer  cells"
"67" "CD19" "Pre-B cells"
"68" "IFIT2" "ISG expressing immune cells"
"69" "AZU1" "Neutrophils"
"70" "IFIT3" "ISG expressing immune cells"
