"genes" "cell_type"
"1" "CD38" "Progenitor cells"
"2" "SELL" "Naive CD4+ T cells"
"3" "NKG7" "Natural killer  cells"
"4" "SSR4" "Plasma B cells"
"5" "GNLY" "Natural killer  cells"
"6" "CD1A" "Myeloid Dendritic cells"
"7" "CD79A" "Pro-B cells"
"8" "CD1C" "Myeloid Dendritic cells"
"9" "MMP9" "Neutrophils"
"10" "CD86" "Macrophages"
"11" "S100A9" "Neutrophils"
"12" "MNDA" "Neutrophils"
"13" "VCAN" "Classical Monocytes"
"14" "S100A12" "Classical Monocytes"
"15" "S100A8" "Neutrophils"
"16" "CD40" "Myeloid Dendritic cells"
"17" "ISG15" "ISG expressing immune cells"
"18" "HLA-DQA1" "Pro-B cells"
"19" "FCER1A" "Mast cells"
"20" "S100A4" "Memory CD4+ T cells"
"21" "HLA-DQB1" "Pro-B cells"
"22" "CSF2RA" "Granulocytes"
"23" "ISG20" "Mast cells"
"24" "C1QC" "Intermediate monocytes"
"25" "NSMCE1" "Pre-B cells"
"26" "IL3RA" "Basophils"
"27" "ITGA2B" "Megakaryocyte"
"28" "CD8A" "CD8+ NKT-like cells"
"29" "CD8B" "Naive CD8+ T cells"
"30" "NCAM1" "Natural killer  cells"
"31" "ITGAM" "Eosinophils"
"32" "ITGAX" "Macrophages"
"33" "CXCR2" "Neutrophils"
"34" "CD163" "Macrophages"
"35" "TPM2" "Plasmacytoid Dendritic cells"
"36" "CLEC4C" "Myeloid Dendritic cells"
"37" "CSF1R" "Macrophages"
"38" "ANPEP" "Granulocytes"
"39" "IL1B" "Intermediate monocytes"
"40" "FLT3" "Progenitor cells"
"41" "CD99" "Pro-B cells"
"42" "LRRC26" "Plasmacytoid Dendritic cells"
"43" "PCDH9" "Pre-B cells"
"44" "MPO" "Neutrophils"
"45" "CDKN1C" "Non-classical monocytes"
"46" "ERBB2" "Cancer cells"
"47" "HLA-DPA1" "Myeloid Dendritic cells"
"48" "HLA-DPB1" "Myeloid Dendritic cells"
"49" "SLAMF1" "HSC/MPP cells"
"50" "CXCL10" "ISG expressing immune cells"
"51" "SEC11C" "Plasma B cells"
"52" "MS4A7" "Non-classical monocytes"
"53" "CD83" "Myeloid Dendritic cells"
"54" "MS4A1" "Naive B cells"
"55" "GZMM" "Natural killer  cells"
"56" "GCA" "Macrophages"
"57" "PAX5" "Pro-B cells"
"58" "NT5E" "Progenitor cells"
"59" "CLEC10A" "Myeloid Dendritic cells"
"60" "SCARA5" "Plasmacytoid Dendritic cells"
"61" "CD6" "Naive CD4+ T cells"
"62" "CRIP3" "Myeloid Dendritic cells"
"63" "LCK" "Naive CD4+ T cells"
"64" "KRT18" "Cancer cells"
"65" "KLRB1" "Natural killer  cells"
"66" "CD19" "Pre-B cells"
"67" "IFIT2" "ISG expressing immune cells"
"68" "AZU1" "Neutrophils"
"69" "IFIT3" "ISG expressing immune cells"
